hs_name,hs_domain,via,crm_candidates,decision(merge|new)
"KURIBAY HR CONSULTING","kuribay.fr",token,"Kuribay RH Consulting",
"CCI Bordeaux Gironde","bordeauxgironde.cci.fr",token,"CCI Bordeaux",
"CCi Gironde","",token,"CCI Bordeaux",
"AC Langues","aclangues.com",token,"Cercle des Langues",
"CROISSANCE & COACHING","croissancecoaching.com",token,"Coaching Académie",
"Business Speaking","business-speaking.com",token,"Business France",
"WSE Clermont","wseclermont.fr",token,"WSE Clermont-Ferrand",
"Centre Formation Langues","centre-formation-langues.fr",token,"Cercle des Langues",
"ESIC - Centre de formation","esic-online.com",token,"ESIC",
"Kare School","kare.school",token,"Consulting School",
"CCI Hauts-de-France","hautsdefrance.cci.fr",token,"CCI Bordeaux",
"Cabinet Boumendil & Consultants","boumendiletconsultants.fr",token,"3R Consultants",
"Kea & Partners","kea-partners.com",token,"LI Partners ",
"Evoléo Formation","evoleo.fr",token,"INCLEO / EVOLEO",
"arkesys.fr","arkesys.fr",token," Groupe Arkesys",
"Mode Estah","mode-estah.com",token,"En Mode Formation",
"LA Compétence","lacompetence.fr",token,"Transfert de compétence ",
"berlitz-nantes.fr","berlitz-nantes.fr",token,"Berlitz Groupe",
"berlitz-bordeaux.fr","berlitz-bordeaux.fr",token,"Berlitz Groupe",
"Berlitz Normandie","",token,"Berlitz Groupe",
"Kampus Training","kampus-training.com",token,"Training academy",
"Université Du Domicile","udd.eu",token,"Université",
"ADREC","adrec-formation.fr",token,"ADREC Formation",
"Les Petits Bilingues","lespetitsbilingues.com",token,"Les Petits Bilingues Amiens",
"berlitz-paris.fr","berlitz-paris.fr",token,"Berlitz Groupe",
"Berlitz Haut de France","berlitz-hdf.fr",token,"Berlitz Groupe",
"wse-chambery.fr","wse-chambery.fr",token,"WSE Chambéry",
"WSE St-Herblain","wse-sth.fr",token,"WSE Nantes / St Herblain",
"berlitz-lyon.fr","berlitz-lyon.fr",token,"Berlitz Groupe",
"iffp.school","iffp.school",token,"Consulting School",
"Groupe Alternance","groupe-alternance.com",token,"IBS alternance",
"Rocket School","rocket-school.com",token,"Consulting School",
"DSP Digital School of Paris","digitalschool.paris",token,"Digital France School",
"Université Paris Nanterre","parisnanterre.fr",token,"Université",
"Les Langues du Monde","leslanguesdumonde.com",token,"BERLITZ Langues du Monde Bordeaux",
"Pôle formation UIMM Bourgogne 21-71","formation-industries-2171.com",token,"Pôle Formation UIMM Bourgogne",
"FIRST GROUP","firstgroup.fr",token,"First Step",
"Selphi Coaching","selphicoaching.com",token,"Coaching Académie",
"Hugo Ranveau","hugoranveau.com",token,"Hugo",
"Alain Granger / Massage","",token,"Alain Granger / Formation Massage",
"ataWay Management","ataway-management.com",token,"Paris École de Management",
"Alain Granger Massage & Relaxation Aquatique","alaingranger.com",token,"Alain Granger / Formation Massage",
"English Academy","english-academy.fr",ambiguous(token),"English World | my-english-training.fr/ | My English School France",
"WSE Nantes","wse-nantes.fr",ambiguous(token),"WSE Anthony | WSE Massy | WSE Provence | WSE Bretagne | WSE Cergy | WSE Valence | WSE Nantes / St Herblain | WSE Limoges | WSE Annecy | WSE Grenoble | WSE Chambéry | WSE Tours",
"AD Education","ad-education.com",ambiguous(token),"Quest Education | Strada Education | gift-education | Cartesia Education | éducation nationale",
"H3 Campus","h3campus.fr",ambiguous(token),"Ilev Campus | Campus du Lac | Pigier Campus de Paris  | campus-formaction",
"Com-C France","comcfrance.fr",ambiguous(token),"ecoletunon.com | ooionline.com | cciformation63.com/ | la-bonne-com | resilience-kb.com/ | infolangues.com/ | formajax.com/",
